BI214   1408.0  2.5  1600.1  y
BI214   1509.2  2.2  1600.1  y
BI214   1661.3  1.1  1600.1  y
BI214   1729.6  3.0  1600.1  y
BI214   1764.5  15.8 1600.1  y
BI214   1847.4  2.1  1600.1  y
BI214   2118.5  1.2   1600.1 y
PB214   74.8    6.3   1600.1 y
PB214   77.1    10.7  1600.1 y
PB214   87.2    3.7   1600.1 y
PB214   89.8    1.0   1600.1 y
PB214   242.0   7.5   1600.1 y
PB214   295.2  19.2   1600.1 y
PB214   351.9  37.2   1600.1 y
PB214   785.9   1.1   1600.1 y
RN219   271.2    9.9   7E+8  y
RN219   401.8    6.6   7E+8  y
RA226   186.2    3.3   1600  y
TH227   50.2     8.5   7E+8  y
TH227   79.8     2.1   7E+8  y
TH227   85.4     1.6   7E+8  y
TH227   88.5     2.8   7E+8  y
TH227   94.0     1.4   7E+8  y
TH227   210.6    1.1   7E+8  y
TH227   236.0   11.2   7E+8  y
TH227   256.3    6.8   7E+8  y
TH227   286.2    1.6   7E+8  y
TH227   299.9    2.0   7E+8  y
TH227   304.4    1.0   7E+8  y
TH227   329.8    2.8   7E+8  y
TH227   334.4    1.0   7E+8  y
AC228    90.0  2.1  1.4E+10  y
AC228    93.3  3.5  1.4E+10  y
AC228   129.1  2.8  1.4E+10  y
AC228   209.3  4.4  1.4E+10  y
AC228   270.2  3.6  1.4E+10  y
AC228   327.6  3.2  1.4E+10  y
AC228   338.3  11.4 1.4E+10  y
AC228   409.5  2.1  1.4E+10  y
AC228   463.0  4.4  1.4E+10  y
AC228   794.7  4.6  1.4E+10  y
AC228   911.6  27.7 1.4E+10  y
AC228   964.6  5.2  1.4E+10  y
AC228   969.1  16.6 1.4E+10  y
AC228   1587.9  3.7 1.4E+10  y
PA231    27.4  9.3     7E+8  y
PA231    283.7    1.6  7E+8  y
PA231    300.1    2.3  7E+8  y
PA231    302.7    4.6  7E+8  y
PA231    330.1    1.3  7E+8  y
TH231    26.6    18.7  7E+8  y
TH231    84.2    8.0   7E+8  y
TH231    89.9    1.3   7E+8  y
TH231    59.0    0.2   7E+8  y
PA234    94.7  15.5  4.5E+9  y
PA234    98.4  25.1  4.5E+9  y
PA234    111.0  8.6  4.5E+9  y
PA234    131.3 20.0  4.5E+9  y
PA234    152.7  7.2  4.5E+9  y
PA234    226.9  6.5  4.5E+9  y
PA234    569.3  10.4 4.5E+9  y
PA234    733.0  8.5  4.5E+9  y
PA234    883.2 12.0  4.5E+9  y
PA234    946.0 20.0  4.5E+9  y
PA234    949.0  7.8  4.5E+9  y
PA234m   766.4  0.3  4.5E+9  y
PA234m   1001.0 0.8  4.5E+9  y
U235      90.0    1.5  7E+8  y
U235      93.3    2.5  7E+8  y
U235     105.0    1.0  7E+8  y
U235     109.1    1.5  7E+8  y
U235     143.8   10.5  7E+8  y
U235     163.4    4.7  7E+8  y
U235     185.7   54.0  7E+8  y
U235     202.1    1.0  7E+8  y
U235     205.3    4.7  7E+8  y
AM241    59.5  36.3  2.3E+8  m
